strategy_id,createTime,daySaleStrategy,winRate,fetched_query
446510,2025-11-27 11:35:32,2,80.9219,主板非st，周成交量环比增长率大于100%，昨日涨幅>-7<5，总市值小于110亿元，近3个月区间涨跌幅小于45%，涨幅在-3%至4%，
443376,2025-11-14 14:52:18,2,78.6844,"股价大于2元小于50元,流通市值10-450亿，量比小于6.5，换手率小于7%，周成交量环比增长率大于100%，上市时间大于1年，近3个月的区间涨跌幅小于35%，周涨跌幅从小到大，排除ST,非科创板,非北交所，排除高开5%以上，涨幅大于0%小于4%，wr1-80"
443194,2025-11-13 22:52:51,2,63.6106,只取主板和创业板，排除ST，流通市值小于150亿，近一个月的区间涨跌幅小于20%，近一周的区间涨跌幅小于5%，涨幅小于5%，换手率小于5%，股价>MA5，当日的周成交量/上周的周成交量降序排名
442754,2025-11-12 22:28:40,2,84.8464,20日涨跌幅小于11%，换手率小于11%，市值小于110亿元，当日涨幅<4%，去除ST股，周成交量增长率大于100%的前20名，换手率排序从大到小
442414,2025-11-11 22:50:35,2,63.6861,只取主板，排除ST，流通市值小于250亿，近一周的周成交量环比增长率大于120%，近一个月的区间涨跌幅小于20%，涨幅小于5.5%，换手率小于10%，股价>MA5，近一周的区间涨跌幅升序排名
442394,2025-11-11 22:10:48,2,69.5396,周成交量环比增涨大于100%，120日涨跌幅小于20%，kdj上移，前一日涨幅大于0小于5，换手率小于20%，除去st净买入排名
442250,2025-11-11 14:30:54,2,65.1879,非st;上市时间大于50天;周成交量增长率大于100%;近20日涨跌幅小于20%;换手率小于20%;市值大于30亿元且小于300亿元;前一日涨幅大于0%小于3%;
441524,2025-11-08 20:47:20,2,82.2946,"  主板，非ST，流通市值小于1000亿，20日的区间涨跌幅<10%，6日的区间涨跌幅<5%，周成交量增长率>100%，1<换手率<11%，涨跌幅>-4%且<2%,换手率降序排列"
441048,2025-11-06 22:58:35,2,80.0481,非st，涨跌幅>-5%且<2%，周成交额环比增长率>100%，换手率从大到小排列
441038,2025-11-06 21:50:10,2,77.9295,"上市板块包含主板,股票简称不包含st,前一日的非涨停,20日的涨跌幅小于10%,总市值小于100亿元,周成交量环比增长率大于100%,涨跌幅大于0并且涨跌幅小于4%,周成交量,涨跌幅大于0,涨跌幅小于4%"
440946,2025-11-06 15:49:41,5,58.4362,主板，中证2000指数，非st；10日涨幅<18%，35日均线上移，周成交量环比增长>50%，市值从小到大排列
440616,2025-11-05 14:41:08,2,77.8902,非st，上市时间大于300天，市盈率大于0，周成交量增长率大于100%，近50日涨跌幅小于20%，换手率小于20%，当日涨幅大于0%小于3%，市值大于30亿元且小于300亿元，非科创板，非北交所，非创业板，量比大于1，按照是市盈率降序
437864,2025-10-25 14:13:02,2,56.8969,排除ST，排除科创板，排除北交所，股价大于开盘价，股价大于昨日收盘价，20日区间涨幅小于10%，20日区间平均换手小于10%，换手小于4.5%，涨幅小于2.98%，振幅小于于5.98%，当日周成交量/上周成交量从大到小前5000。
436548,2025-10-21 11:01:31,2,63.9324,主板股票，20日涨跌幅小于10%，换手率小于10%，股价大于2.5元小于25元，非st，周成交量环比增长>70%前200名
436236,2025-10-20 13:08:46,2,78.0576,不要ST和*ST股票，主板股票，周成交量增长率>100%，日涨跌幅>0%且<4%，股票近5日的区间涨跌幅<8%，按照成交量大小排序
436226,2025-10-20 12:45:37,2,64.7676,主板；流通市值200亿以下；成交量近二日连续上涨；周成交量环比增长率大于70%；5日线在10线附近；10线在20日线附近；三日涨幅8%以下；30日内振幅10%以上
436178,2025-10-20 10:45:40,4,61.6314,非st，主板，流通市值小于150亿，昨日开盘价<boll(upper值)*100%，近一周周成交量环比增长率大于120%，近1个月的区间涨跌幅小于20%，涨幅大于0小于4，换手率小于4%，净买入排名
435712,2025-10-18 09:36:29,5,57.6052,所属指数类是中证1000，只取主板，不含ST股票，净资产负债率小于100%，30日涨幅小于21%，60日线上移，市值大于15亿，市值小于120亿，股价大于4.5元，股价小于34元，现价大于30日均线，市值从小到大排列
435054,2025-10-16 11:03:07,2,79.5222,20日的区间涨跌幅<10%，非st，周成交量增长率>99%，近5日的区间涨跌幅<8%，换手率从大到小排名，换手率<20%，涨跌幅>0%且<3.5%，量比>0.8，a股市值(不含限售股)<300亿元，上市天数大于三个月，振幅小于7%
434346,2025-10-13 22:40:14,2,81.6754,周成交量环比增长率大于100%，20日的区间涨跌幅<9%，近3个月的区间涨跌幅小于40.1%，排除高开5%以上，非创业板，非科创板，不选ST，非北证，日涨跌幅>0%且<4%
434164,2025-10-12 22:50:30,2,75.2759,周成交量环比增长率大于100%，近3个月的区间涨跌幅小于40.1%，排除高开5%以上，  当前价 > 前日收盘价 且 (当前价 - 前日收盘价)/前日收盘价 < 4.5% ，非创业板，不选ST，非北证
434148,2025-10-12 22:16:22,2,75.9465,非停牌；非st；今日开盘价幅度大于-3%小于5%；流通市值小于20亿；周交易量环比增加95%，非科创板；非创业板；
431742,2025-09-25 21:53:04,2,67.0538,创业板及主板，总市值大于20亿小于250亿，周成交量环比增长率大于100%，上市时间大于1年，近个月的区间涨跌幅大于-3%小于10%，按近一周区间涨跌幅从小到大排序，排除周期性股，排除ST排除退市
430978,2025-09-22 22:16:03,2,63.1802,总市值大于20亿小于300亿，周成交量环比增长率大于100%，上市时间大于1年，近3个月的区间涨跌幅小于21%
430894,2025-09-22 17:27:20,2,65.2542,剔除st股票，剔除科创板股票，剔除北交所股票，昨天收盘价低于25元，总市值大于40亿元小于500亿元，上市时间大于3年，近3个月涨幅小于20%，昨天涨幅小于5%，昨天收盘价不低于前天收盘价，周成交量环比增长率大于100%，本周涨幅从小到大排列，昨天收盘价高于250日均线
429320,2025-09-15 17:09:52,2,78.9474,成交量从大到小排名 ，资金流向>500万元，近5日的区间涨跌幅<8% ，上市交易日天数>60日，股票简称不包含st ，当日的涨跌幅<4% 且当日的涨跌幅>0% ，周成交量增长率>100% ，总市值<300亿元，换手率<11% ，20日的区间涨跌幅<10% 5日和20日的vol金叉
429018,2025-09-13 23:18:40,2,78.8018,上市板块不包含主板 ，20日的区间涨跌幅小于9%，周成交量环比增长率大于100% ，涨跌幅大于0%，涨跌幅小于4% ，涨跌幅大于0%并且涨跌幅小于4% ，近5日的区间涨跌幅小于8%，按周成交量降序排列
421674,2025-08-03 15:54:08,2,80.3571,20日涨跌幅小于10%，换手率小于11%，市值小于300亿元，周成交量环比增长率大于100%，当日涨幅＜4%，非ST，非新股，非次新股，非北交所，非创业板，非科创板，近5日涨跌幅小于8%，资金净流入大于500万
420716,2025-07-29 09:14:06,2,76.2898,"周成交量环比增长率大于100%,涨幅大于0%小于4%"
419244,2025-07-21 09:23:42,2,76.5755,排除ST，近一月区间涨跌幅小于50%，周成交量环比增长率大于100%，涨幅小于7%，市值小于200亿，非下跌通道中，创业板，概念板块
418986,2025-07-19 21:09:54,2,81.054,"排除ST，上市时间大于3年，前3个月的区间涨跌幅小于30%，周成交量环比增长率大于100%，涨幅大于0%小于5%,创业板，前7天涨跌幅从小到大排列，技术形态，概念板块"
417734,2025-07-13 14:26:10,5,57.7869,无退市风险，非st股票，中证1000指数成分股，过去30个交易日涨幅小于15%，上个交易日60日线上移，peg<1，市值从小到大排列
414598,2025-06-30 04:27:40,2,75.4274,总市值大于20亿小于300亿 排除ST 排除创业板股票；主板；   周成交量环比增长率大于90% ，日涨跌幅大于0小于5
414144,2025-06-27 11:03:27,2,73.9857,a股市值(不含限售股)>5亿元，换手率>2%且换手率<10%，周成交量增长率>100%，上市天数>365日，最近3个月的区间涨跌幅<30%，股票简称不包含st，上市板块不包含科创板，股票市场类型不包含北交所，上市板块不包含创业板，wr>20且wr<80，昨日的开盘价，昨日的涨跌幅>-3%且昨日的涨跌幅<3%，昨日开盘价<boll(upper值)*100%
413832,2025-06-25 23:02:03,2,80.2784,"股价大于3元小于50元,流通市值10-450亿，周成交量环比增长率大于130%，排除ST,涨幅大于0%小于3%"
413086,2025-06-22 22:15:05,2,62.2472,沪深京主板，排除ST，上市时间大于3年，近40日的区间涨跌幅小于30%，本日周成交量环比增长率大于100%，上一日涨幅大于0小于5%，今日换手率低于9.5%
412744,2025-06-20 21:27:19,2,72.956,今日开盘价幅度大于0%小于5%；流通市值小于50亿；周交易量环比增加100%；股价低于10元。非停牌；非st；
412742,2025-06-20 21:10:36,2,77.0655,"去除st，周成交量环比增长率大于100%，wr>35且wr<80,近3个月的区间涨跌幅小于25%，连续5天无涨停"
412740,2025-06-20 21:06:35,2,76.096,排除ST，近3个月的区间涨跌幅小于25%，周成交量环比增长率大于100%，周涨跌幅小到大，涨幅大于0%小于5%
412660,2025-06-20 13:23:44,2,69.8225,10日20日均线多头排列，周成交量增幅大于80%，kdj卖出信号，涨跌幅小于8%，换手率小于20%，除去创业板、st、北交所、科创板
411570,2025-06-14 18:44:16,2,77.186,非创业板；非停牌；非st；非北交所；非科创板；今日开盘价幅度大于-3%小于5%；流通市值大于20亿；周交易量环比增加100%；WR20-60
409712,2025-06-04 18:15:38,2,68.4987,非ST，非沪港通，非科创板，非创业板，非北交所，锤头线或三连阳，周成交量环比大于80%，净买入排名
409544,2025-06-03 22:18:19,2,66.6245,120日涨跌幅小于20%，换手率小于20%，昨天涨幅大于0%小于4%，市值大于50亿元且市值小于200亿元， 主板，周成交量环比增涨大于80%
405928,2025-05-14 23:33:50,2,69.9367,总市值小于100亿，周成交量增幅大于80%，近5日的区间涨跌幅小于6%，不包括ST股，按换手率从大到小排名
405118,2025-05-11 20:26:08,3,100.0,"rsi金叉,J值＞20，收盘价大于40日内最高价，成交量/前一日成交量≤2"
404876,2025-05-10 20:21:44,2,72.8302,流通市值大于20亿小于150亿，非科创非ST，收盘价小于30元，周成交量环比增长率大于100%，近3个月的区间涨跌幅小于20%，周涨跌幅小到大，排除ST，涨幅大于0%小于5%，连续2天的成交量小到大
404676,2025-05-09 16:46:52,5,63.6704,"市值大于20亿，上市时间大于1年，周成交量环比增长率大于50%,近三月的区间涨跌幅小于20%，量比大于1.5小于7，排除高开5%以上，涨幅小于5%，排除st，排除北交所，排除科创板，换手率大于2%小于20%，换手率从大到小排列。6日的vol上穿60日的vol"
401652,2025-04-24 16:11:52,5,71.7431,"非st, 周成交量环比增涨大于100%，120日涨跌幅小于10%，换手率小于10%，当日涨幅大于0%小于4%， 价格低于10。"
401276,2025-04-22 22:07:45,2,80.9982,"总市值大于30亿小于200亿，周成交量环比增长率大于100%，上市时间大于1年，周涨幅大于0%小于10%，当日未有过涨停且收盘价大于0%小于9%，换手率大于1%小于20%,量比小于6.5，排除ST,排除北交所,不包含科创板,不包含创业板;"
400606,2025-04-18 15:26:34,2,74.7234,总市值大于30亿小于1000亿，周成交量增幅大于120%，上市时间大于等于4年，近5日的区间涨跌幅小于10%，股价小于最近一年内最低价*1.4
396264,2025-03-27 13:11:58,2,60.3316,"换手率小于20%，周成交量环比增长率大于100%，近3个月的区间涨跌幅小于35%，涨幅从小到大排列，排除ST,排除科创板，排除一字板，排除北交所"
395406,2025-03-23 21:16:08,2,79.7619,非ST股，非科创板，上市时间大于3年，总市值大于15亿小于300亿，量比小于6.5，换手率小于10%，开盘价大于0%小于5%，涨幅大于0%小于4%，周成交量环比增长率大于100%，近3个月的区间涨跌幅小于35%，周涨跌幅从小到大排列
394422,2025-03-19 23:44:17,2,78.9227,"总市值大于20亿小于300亿，上市时间大于1年，排除ST，主板，周成交量环比增长率大于100%，近3个月的区间涨跌幅小于20%，排除高开7%以上，涨幅大于0%小于5%,换手率小于10%"
393954,2025-03-18 11:20:24,2,63.7532,，周成交量环比增长率大于90%，主力资金持续流入
392808,2025-03-14 08:42:42,2,76.2622,上市时间大于3年，近3个月的区间涨跌幅小于20%，总市值大于30亿小于500亿，周成交量环比增长率大于95%，周涨跌幅小到大，排除ST，排除高开3%以上，涨幅大于0%小于5%，排除创业板股票；沪深京主板；3天的区间dde大单净额、5日的vol均>0
389958,2025-03-03 17:29:06,2,64.1056,总市值大于30亿小于500亿，周成交量增幅大于100%，近90个交易日的区间涨跌幅小于20%，排除st股票，市值由小到大
375778,2024-11-27 04:19:46,4,57.6547,"非ST,非科创,pb>=2.5,下跌或放量上涨,现价>=3.3,0.9<=换手率<=1或1.1<=换手率<=14.9或15.1<=换手率<=15.4或15.6<=换手率<=16或16.3<=换手率<=24.8或25.4<=换手率<=25.6或换手率=26或26.9<=换手率<=27.1或27.4<=换手率<=28.8,22日均线上,10日均线>=20均线,5日均线>=20均线,20日振幅降序"
368354,2024-08-24 23:20:29,5,57.2093,非ST，非创业板，非科创板，市盈率小于45，市盈净率小于20，市值大于610亿，日均线多头排列，连续放量，排序条件总市值降序
358606,2024-04-14 08:28:34,5,57.8182,中证2000，筹码集中度90小于12%， 股价大于20日均线，5日均量大于20日均量，按市值从小到大排列
340860,2023-11-15 16:38:52,3,58.4416,非新股与次新股，非创业板和st股，非科创板，60日均线上穿30日均线，rsi＜20，前7个交易日缩量，当日缩量下跌
331756,2023-09-05 15:49:52,5,58.3333,今日大股东增持比例大于5%；今日量比大于1小于5；今日涨跌幅小于6%；按换手率从大到小排列
305362,2022-09-30 22:12:51,5,55.1867,非ST；业绩预增大于55%；市盈率小于85；总市值从小到大排列
